Year,,Comm Catch,,,,,Comm Catch,,,,,Comm Catch,,,,
,Source,3,4,5,6,Comments_1,3,4,5,6,Comments_2,3,4,5,6,Comments_3
1974,Central Coast Age Database summary from Oct 31/89 ,27,210,96,4,Matt Mortimer: Dean/N. Bentinck/Atnarko,1,23,8,,"Matt Mortimer:
North Bentinck 
July 17",,,,,
1975,Central Coast Age Database summary from Oct 31/90,,685,63,,Matt Mortimer: Dean/N. Bentinck Arm,,,,,,,,,,
1976,Central Coast Age Database summary from Oct 31/91,6,306,138,1,Matt Mortimer: Fitzhugh/Dean/N. Bentinck,,,,,,,,,,
1977,Central Coast Age Database summary from Oct 31/92,,110,66,,,,55,7,,"Matt Mortimer:
Labouchere
July 4
July 5",1,41,10,1,"Matt Mortimer:
Fitzhugh Sound
July 4"
1978,Central Coast Age Database summary from Oct 31/93,8,106,41,,"Matt Mortimer:
Lists as Bella Coola??
June 8",,1,,,"Matt Mortimer:
Labouchere 
June 13",,,,,
1979,Central Coast Age Database summary from Oct 31/94,,13,9,,"Matt Mortimer:
BCGNA
June 18",3,71,17,,"Matt Mortimer:
North Bentinck Arm
July 2

Bella Coola Docks
July 3
July 10

Assumed Bella Coola Docks North Bentinck same",,,,,
1980,Central Coast Age Database summary from Oct 31/95,,,,,,,,,,,,,,,
1981,Central Coast Age Database summary from Oct 31/89  // 1989 Age Data- Green 2 drawer filing cabinet Campbell River Office,1,21,19,,"Matt Mortimer:
Area 8
July 31- GN
2 of 4's and 3 of 5's were Nimpkish so removed

Fitzhugh Sound
July 21- SN
Aug 6- SN",,,,,,,,,,
1982,Central Coast Age Database summary from Oct 31/89 ,,70,22,,"Matt Mortimer:
BCGNA
July 5 and 12",,,,,,,,,,
1983,Central Coast Age Database summary from Oct 31/89,,11,8,,"Matt Mortimer:
BCGNA",,,,,,,,,,
1984,Central Coast Age Database summary from Oct 31/89 (Note these figures do not agree with RMS),,59,29,,"Matt Mortimer:
Burke Channel",,,,,,,,,,
1985,Central Coast Age Database summary from Oct 31/89,,34,45,,"Matt Mortimer:
Includes Area 8 Seine 1-4's and 1-5's and  includes 1-5's from Dean/Burke.",,14,21,,"Matt Mortimer:
Labouchere Channel",,,,,
1986,Central Coast Age Database summary from Oct 31/89 - Note all numbers check with RMS,,14,10,,"Matt Mortimer:
Labouchere Channel July 6-12 (Wk 15) 14-4's and 9-5's + 1-5's Area 8 GN.",,,,,,,,,,
1987,Original Memo's Dave Flegel (Fishery Officer) to Y. Yole (Fish Morphology Technician),,4,7,1,"Matt Mortimer:
FFH GN and SN Marks Recovered",,,,,,,,,,
1988,Central Coast Age Database summary from Oct 31/89 - Note numbers don't all check with RMS,2,4,5,,"Matt Mortimer:
Labouchere Channel",,,,,,,,,,
1989,Central Coast Age Database summary from Oct 31/89 ,3,27,8,,"Matt Mortimer:
Area 8 GN",7,59,17,,"Matt Mortimer:
Area 8 SN",,,,,
1990,Central Coast Age Database summary from Nov 2/90,30,134,22,,"Matt Mortimer:
Area 8 Gear Unknown",,,,,,,,,,
1991,PADS- unsure origin of commercial samples,1,139,18,,,,,,,,,,,,
1992,PADS,,,,,,,,,,,,,,,
1993,PADS- unsure origin of commercial samples,,,2,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,
1996,Box #3,,5,,1,"Matt Mortimer:
Near Namu- Seine
Aug 9/96",,,,,,,,,,
1997,PADS,,,,,,,,,,,,,,,
1998,PADS- unsure origin of commercial samples,1,9,9,1,,,,,,,,,,,
1999,PADS,,,,,,,,,,,,,,,
2000,PADS- unsure origin of commercial samples,,29,9,3,"Matt Mortimer:
Area 8 Gillnet
July 24",,,,,,,,,,
2001,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,
2003,PADS,,,,,,,,,,,,,,,
2004,Scalebooks were misplaced,,,,,,,,,,,,,,,
2005,PADS,,,,,,,,,,,,,,,
2006,PADS,,,,,,,,,,,,,,,
2007,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2008,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2009,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2010,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2011,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2012,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2013,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2014,Assumed after 2007 as no other age data,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
