Year,Comm,FSC,Catch
1975,58509,0,58509
1976,51543,2090,53633
1977,39569,3875,43444
1978,6718,4355,11074
1979,46101,2784,48885
1980,41438,5688,47127
1981,40639,5335,45974
1982,11393,2662,14055
1983,31314,5602,36916
1984,16634,7083,23717
1985,32931,8197,41128
1986,19509,4927,24437
1987,33735,5753,39488
1988,39216,7825,47041
1989,8879,5915,14794
1990,18702,4472,23174
1991,21469,10152,31622
1992,18222,7598,25820
1993,9518,5189,14707
1994,30307,959,31266
1995,16454,5451,21904
1996,6257,3769,10026
1997,4576,5863,10438
1998,3852,2273,6126
1999,900,1183,2083
2000,777,2082,2860
2001,453,1736,2189
2002,1074,1924,2999
2003,2727,2033,4760
2004,849,1186,2035
2005,221,521,742
2006,191,625,816
2007,79,344,423
2008,62,361,423
2009,404,636,1040
2010,66,165,231
2011,232,92,323
2012,790,188,978
2013,623,63,686
2014,189,304,493
2015,498,286,784
2016,1175,139,1314
2017,368,132,501
2018,1272,119,1391
2019,81,100,181
2020,44,110,154
2021,1,279,280
2022,0,89,89
2023,0,122,122
2024,0,313,313
2025,0,283,283
